href|lat|lon|lines|station|distance|google|time|apttype|area|borough|price|price2|bedrooms|listed|updated|avail|building|feet|amenslist|laundry|unitlaundry|gym|dishwasher|offers|nofee
http://www.nakedapartments.com/apartment/1-Bedroom-West-64TH-ST-New-York-NY-10023-3oukcbj|40.774245|-73.987608|1,2,3|66 St - Lincoln Center|0.38|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.987608!2d40.774245!1m3!2m2!1d-73.987608!2d40.774245!3e3|16|1br|Upper West Side|Manhattan|1825|1825|1|2 days|2 days|Immediately|||Doorman,Elevator,Gym,Laundry Room|x||x|x||
http://www.nakedapartments.com/apartment/1-Bedroom-40TH-ST-Queens-NY-11104-n5ChtEJ|40.7453|-73.9237738|7|40 St|0.11|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9237738!2d40.7453!1m3!2m2!1d-73.9237738!2d40.7453!3e3|24|1br|Sunnyside|Queens|1900|1900|1|3 days|3 days|Immediately|Elevator/Laundry Building||Elevator,Laundry Room,On-site super|x|||x|Low fee: 8.5%|
http://www.nakedapartments.com/apartment/1-Bedroom-148-West-76TH-ST-New-York-NY-10023-3mZN5TZ|40.7805566|-73.9784983|1,2,3|79 St|0.25|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9784983!2d40.7805566!1m3!2m2!1d-73.9784983!2d40.7805566!3e3|20|1br|148 West  76th Street|Upper West Side|2250|2250|1|About 24 hours|About 24 hours|Immediately|||Laundry Room|x|||x|Exclusive|
http://www.nakedapartments.com/apartment/1-Bedroom-8TH-ST-Brooklyn-NY-11215-1jYKabkS|40.670772|-73.987286|R,N,D|9 St|0.07|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.987286!2d40.670772!1m3!2m2!1d-73.987286!2d40.670772!3e3|31|1br|Park Slope|Brooklyn|2150|2150|1|2 days|2 days|Apr. 01, 2014|Pre War||Backyard,Dishwasher,Duplex,Fireplace,Laundry Room,Outdoor Space|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-East-62ND-ST-New-York-NY-10065-rSmcJF|40.7618271|-73.9615342|F|Lexington Av/63 St|0.37|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9615342!2d40.7618271!1m3!2m2!1d-73.9615342!2d40.7618271!3e3|11|1br|Upper East Side|Manhattan|2150|2150|1|5 days|5 days|Immediately|Pre War||Dishwasher,Laundry Room|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-Newtown-AVE-Queens-NY-11102-3Q90U27w|40.770947|-73.924704|N,Q|30 Av|0.36|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.924704!2d40.770947!1m3!2m2!1d-73.924704!2d40.770947!3e3|25|1br|Astoria|Queens|1550|1550|1|4 days|4 days|Immediately|Pre War||Laundry Room|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-47TH-AVE-Queens-NY-11104-n0h4FNU|40.7418041|-73.922322|7|40 St|0.18|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.922322!2d40.7418041!1m3!2m2!1d-73.922322!2d40.7418041!3e3|27|1br|Sunnyside|Queens|1900|1900|1|3 days|3 days|Immediately|||Elevator,Laundry Room|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-222-East-84TH-ST-New-York-NY-10028-4S3kV7B|40.776786|-73.953838|4,6,5|86 St|0.22|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.953838!2d40.776786!1m3!2m2!1d-73.953838!2d40.776786!3e3|20|1br|222 East  84th Street|Upper East Side|2000|2000|1|4 days|4 days|Immediately|||Laundry Room|x|||x|Exclusive|
http://www.nakedapartments.com/apartment/1-Bedroom-47TH-AVE-Queens-NY-11104-3HYRxN8X|40.7415116|-73.92139|7|46 St|0.23|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.92139!2d40.7415116!1m3!2m2!1d-73.92139!2d40.7415116!3e3|28|1br|Sunnyside|Queens|1875|1875|1|3 days|3 days|Immediately|Elevator/Laundry Building||Elevator,Laundry Room,On-site super|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-31ST-ST-Queens-NY-11101-3MMpVEmd|40.754262|-73.931063|N,Q|39 Av|0.15|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.931063!2d40.754262!1m3!2m2!1d-73.931063!2d40.754262!3e3|24|1br|Astoria|Queens|2000|2000|1|4 days|4 days|Apr. 01, 2014|Elevator/Laundry Building||Dishwasher,Elevator,Garage,Laundry Room,On-site super,Parking,Terrace|x|||x||
